entry_time,direction,entry_price,sl,tp,exit_price,status
2024-08-16 08:00:00+00:00,LONG,1.0981184,1.0975902857142859,1.0991746285714281,1.098954628571428,WIN
2024-09-06 13:30:00+00:00,SHORT,1.11056124,1.112805142857143,1.106073434285714,1.1130251428571432,LOSS
2024-11-19 09:15:00+00:00,SHORT,1.05572338,1.0579745714285715,1.0512209971428572,1.0581945714285717,LOSS
2024-11-26 15:15:00+00:00,SHORT,1.05008994,1.0512661428571428,1.0477375342857147,1.0479575342857148,WIN
2025-01-14 12:00:00+00:00,SHORT,1.0254051,1.0263069999999999,1.0236013000000002,1.026527,LOSS
2025-01-30 13:15:00+00:00,LONG,1.04073456,1.0398114285714286,1.0425808228571427,1.0423608228571426,WIN
2025-02-20 08:00:00+00:00,LONG,1.04320154,1.0425444285714285,1.0445157628571433,1.0442957628571432,WIN
2025-04-15 22:00:00+00:00,LONG,1.1285267,1.127691,1.1301981000000003,1.1299781000000002,WIN
2025-06-18 15:15:00+00:00,LONG,1.15093004,1.149463857142857,1.1538624057142859,1.149243857142857,LOSS
2025-08-12 12:30:00+00:00,LONG,1.16215572,1.1599515714285713,1.166564017142857,1.166344017142857,WIN
2025-08-15 12:30:00+00:00,LONG,1.16832084,1.1672072857142857,1.1705479485714287,1.1703279485714286,WIN
2025-10-24 20:30:00+00:00,SHORT,1.1629679,1.1636332857142857,1.1616371285714284,1.1638532857142858,LOSS
2025-11-18 04:15:00+00:00,LONG,1.15941536,1.158777,1.1606920799999998,1.1585569999999998,LOSS
