entry_time,direction,level,price,entry,sl,tp,risk,outcome
2024-07-25 20:15:00,SHORT,R1,1.0866933333333333,1.08636,1.0871899999999999,1.0847000000000002,0.0008299999999998864,WIN
2024-07-29 08:45:00,SHORT,R1,1.08594,1.08571,1.0865,1.0841299999999998,0.0007900000000000684,WIN
2024-08-06 01:30:00,SHORT,R1,1.0959733333333332,1.0957,1.0964099999999999,1.09428,0.0007099999999999884,WIN
2024-08-09 10:15:00,SHORT,R1,1.092786666666667,1.0924999999999998,1.09311,1.0912799999999994,0.0006100000000002215,WIN
2024-08-14 17:45:00,SHORT,R1,1.1045766666666668,1.10411,1.10491,1.1025099999999997,0.0008000000000001339,WIN
2024-08-22 00:45:00,SHORT,R1,1.1151700000000002,1.1146399999999999,1.11554,1.1128399999999996,0.0009000000000001229,LOSS
2024-08-26 00:30:00,SHORT,R1,1.1190999999999998,1.1188399999999998,1.1197,1.1171199999999997,0.0008600000000000829,LOSS
2024-09-06 15:45:00,SHORT,R1,1.1137699999999997,1.11326,1.11563,1.10852,0.0023699999999999832,WIN
2024-09-17 11:30:00,SHORT,R1,1.1135566666666668,1.1132199999999999,1.11386,1.1119399999999995,0.000640000000000196,LOSS
2024-09-18 21:15:00,SHORT,R1,1.1172199999999999,1.11604,1.11798,1.1121599999999998,0.0019400000000000528,LOSS
2024-09-25 03:15:00,SHORT,R1,1.1190266666666664,1.1187399999999998,1.11947,1.1172799999999996,0.0007300000000001194,LOSS
2024-09-30 13:00:00,SHORT,R1,1.1190666666666669,1.1187799999999999,1.11978,1.1167799999999997,0.001000000000000112,LOSS
2024-10-10 20:00:00,LONG,S1,1.0904800000000001,1.09078,1.09008,1.0921800000000004,0.000700000000000145,LOSS
2024-10-18 05:45:00,LONG,S1,1.0838066666666666,1.0840400000000001,1.08327,1.0855800000000004,0.0007700000000001594,WIN
2024-10-22 00:15:00,LONG,PDL,1.08109,1.0818100000000002,1.08079,1.0838500000000006,0.001020000000000243,LOSS
2024-10-28 05:00:00,LONG,S1,1.0787766666666665,1.0789900000000001,1.07837,1.0802300000000002,0.0006200000000000649,LOSS
2024-10-29 15:45:00,LONG,S1,1.0779466666666666,1.0782800000000001,1.0775000000000001,1.0798400000000001,0.0007800000000000029,WIN
2024-11-07 02:15:00,LONG,S1,1.0735933333333334,1.07376,1.07292,1.07544,0.0008399999999999519,LOSS
2024-11-18 03:00:00,LONG,S1,1.05486,1.05502,1.05436,1.0563400000000003,0.000660000000000105,LOSS
2024-11-19 12:00:00,LONG,S1,1.05444,1.0550700000000002,1.05359,1.0580300000000005,0.0014800000000001479,WIN
2024-11-22 11:15:00,LONG,S1,1.033343333333333,1.03414,1.0329300000000001,1.03656,0.0012099999999999334,WIN
2024-12-13 04:45:00,LONG,S1,1.0462433333333334,1.0465600000000002,1.04594,1.0478000000000003,0.0006200000000000649,LOSS
2024-12-19 00:15:00,LONG,PDL,1.03441,1.0349300000000001,1.03408,1.0366300000000002,0.0008500000000000174,WIN
2024-12-20 02:30:00,LONG,S1,1.0365366666666667,1.03678,1.03621,1.03792,0.0005699999999999594,LOSS
2024-12-26 09:45:00,LONG,S1,1.0393633333333332,1.03967,1.03894,1.0411300000000003,0.0007300000000001194,WIN
2025-01-03 04:15:00,LONG,S1,1.026946666666667,1.0271100000000002,1.02647,1.0283900000000006,0.000640000000000196,LOSS
2025-01-13 12:15:00,LONG,S1,1.01957,1.0206300000000001,1.01907,1.0237500000000006,0.0015600000000002279,LOSS
2025-01-16 15:30:00,LONG,S1,1.0263800000000003,1.02657,1.02606,1.02759,0.0005100000000000104,WIN
2025-02-03 02:15:00,LONG,S1,1.0253133333333335,1.02584,1.02412,1.0292800000000004,0.0017200000000001658,LOSS
2025-02-10 00:15:00,LONG,S1,1.0283433333333334,1.0297,1.02759,1.0339200000000002,0.0021100000000000563,WIN
2025-02-11 08:30:00,LONG,S1,1.03078,1.0310400000000002,1.03028,1.0325600000000004,0.0007600000000000939,LOSS
2025-02-12 15:45:00,LONG,S1,1.0322266666666664,1.03291,1.0315,1.0357299999999998,0.0014099999999999113,WIN
2025-03-06 15:30:00,SHORT,R1,1.0834366666666666,1.0812899999999999,1.0847499999999999,1.0743699999999998,0.0034600000000000186,LOSS
2025-03-10 12:30:00,SHORT,R1,1.0870933333333335,1.0865699999999998,1.08765,1.0844099999999994,0.001080000000000192,WIN
2025-03-12 12:00:00,SHORT,R1,1.0918766666666668,1.09126,1.0923,1.0891799999999996,0.001040000000000152,WIN
2025-03-20 02:30:00,SHORT,R1,1.0908933333333333,1.09066,1.09147,1.08904,0.0008099999999999774,LOSS
2025-03-31 10:15:00,SHORT,R1,1.0847333333333329,1.08303,1.0850899999999999,1.07891,0.0020599999999999508,WIN
2025-04-01 03:30:00,SHORT,R1,1.0821433333333335,1.0819699999999999,1.08271,1.0804899999999995,0.000740000000000185,LOSS
2025-04-04 05:00:00,SHORT,R1,1.1071633333333333,1.10658,1.10747,1.1047999999999998,0.0008900000000000574,LOSS
2025-04-07 09:15:00,SHORT,R1,1.1012066666666667,1.10063,1.1022399999999999,1.0974100000000002,0.0016099999999998893,LOSS
2025-04-09 08:15:00,SHORT,R1,1.1055466666666662,1.10432,1.10698,1.0989999999999998,0.0026600000000001067,LOSS
2025-04-14 09:45:00,SHORT,R1,1.1416633333333333,1.1412399999999998,1.14203,1.1396599999999992,0.0007900000000002905,LOSS
2025-04-17 02:30:00,SHORT,R1,1.1401333333333337,1.1396799999999998,1.14046,1.1381199999999994,0.000780000000000225,LOSS
2025-04-21 00:15:00,SHORT,PDH,1.13967,1.1393199999999999,1.14031,1.1373399999999998,0.0009900000000000464,LOSS
2025-04-29 02:15:00,SHORT,R1,1.14118,1.1404699999999999,1.14232,1.1367699999999996,0.0018500000000001293,WIN
2025-05-02 18:15:00,SHORT,R1,1.1361500000000002,1.13581,1.13701,1.1334099999999998,0.0012000000000000899,WIN
2025-05-05 14:15:00,SHORT,R1,1.1353966666666668,1.13503,1.13589,1.1333099999999998,0.0008600000000000829,LOSS
2025-05-07 01:15:00,SHORT,R1,1.135123333333333,1.13401,1.13771,1.12661,0.0037000000000000366,LOSS
2025-05-22 04:00:00,SHORT,R1,1.1329366666666667,1.13252,1.13334,1.1308799999999999,0.0008200000000000429,LOSS
2025-05-26 05:00:00,SHORT,R1,1.1412900000000001,1.1410399999999998,1.14171,1.1396999999999995,0.0006700000000001705,LOSS
2025-05-30 04:30:00,SHORT,R1,1.1386,1.1375,1.13913,1.13424,0.0016300000000000203,WIN
2025-06-03 05:00:00,SHORT,R1,1.1428766666666668,1.1425999999999998,1.14364,1.1405199999999995,0.001040000000000152,WIN
2025-06-05 16:45:00,SHORT,R1,1.14903,1.14824,1.14963,1.14546,0.0013900000000000023,WIN
2025-06-16 17:30:00,SHORT,R1,1.1607166666666666,1.16051,1.1616,1.1583299999999999,0.0010900000000000354,WIN
2025-06-27 16:15:00,SHORT,R1,1.1752,1.1734799999999999,1.17552,1.1693999999999998,0.0020400000000000418,WIN
2025-07-03 03:00:00,SHORT,R1,1.1798733333333333,1.17967,1.1803599999999999,1.1782900000000003,0.0006899999999998574,LOSS
2025-07-04 17:15:00,SHORT,R1,1.178536666666667,1.1780499999999998,1.17889,1.1763699999999995,0.0008400000000001739,LOSS
2025-07-10 03:15:00,SHORT,R1,1.1744966666666667,1.17421,1.17486,1.17291,0.0006500000000000394,LOSS
2025-07-16 18:45:00,SHORT,R1,1.1715199999999997,1.16874,1.17227,1.1616799999999998,0.003530000000000033,WIN
2025-07-18 17:15:00,SHORT,R1,1.1667266666666665,1.16542,1.1673499999999999,1.16156,0.0019299999999999873,WIN
2025-07-24 17:30:00,SHORT,R1,1.1780066666666664,1.1769399999999999,1.17903,1.1727599999999996,0.0020900000000001473,WIN
2025-08-08 01:15:00,SHORT,R1,1.16696,1.16655,1.1672799999999999,1.1650900000000002,0.0007299999999998974,LOSS
2025-08-11 10:15:00,SHORT,R1,1.16634,1.16567,1.16673,1.1635499999999999,0.001060000000000061,WIN
2025-08-18 04:15:00,SHORT,R1,1.1698633333333333,1.16953,1.17035,1.1678899999999999,0.0008200000000000429,LOSS
2025-08-19 10:15:00,SHORT,R1,1.1678933333333332,1.16729,1.16827,1.16533,0.0009799999999999809,LOSS
2025-08-25 04:30:00,SHORT,R1,1.1696866666666668,1.16943,1.1705,1.1672899999999997,0.0010700000000001264,LOSS
2025-09-09 00:45:00,SHORT,R1,1.1758666666666668,1.17569,1.17627,1.1745299999999999,0.0005800000000000249,LOSS
2025-10-14 04:15:00,LONG,S1,1.1561633333333334,1.1569,1.15586,1.15898,0.0010399999999999299,WIN
2025-10-17 04:45:00,SHORT,R1,1.1702366666666666,1.17004,1.17099,1.16814,0.0009500000000000064,LOSS
2025-10-21 00:15:00,LONG,PDL,1.16384,1.1645100000000002,1.16349,1.1665500000000006,0.001020000000000243,LOSS
2025-10-22 00:15:00,LONG,PDL,1.15975,1.16016,1.15935,1.16178,0.0008099999999999774,LOSS
2025-10-22 15:30:00,LONG,S1,1.1582999999999999,1.1588,1.15793,1.1605400000000003,0.0008700000000001484,LOSS
2025-10-23 07:30:00,LONG,S1,1.15951,1.15968,1.15915,1.1607400000000003,0.0005300000000001415,LOSS
2025-11-05 16:15:00,LONG,S1,1.1474766666666665,1.14792,1.14668,1.1504000000000003,0.0012400000000001299,WIN
2025-12-04 00:45:00,SHORT,R1,1.1670900000000004,1.16688,1.16743,1.1657799999999998,0.0005500000000000504,WIN
2025-12-05 09:45:00,SHORT,R1,1.1666833333333335,1.1664599999999998,1.16738,1.1646199999999993,0.000920000000000254,WIN
2025-12-08 08:15:00,SHORT,R1,1.166713333333333,1.16634,1.16742,1.16418,0.0010799999999999699,WIN
2025-12-16 15:45:00,SHORT,R1,1.1788600000000002,1.17621,1.17967,1.16929,0.0034600000000000186,LOSS
2025-12-24 05:00:00,SHORT,R1,1.179853333333333,1.17966,1.18042,1.1781399999999997,0.0007600000000000939,WIN
2025-12-26 15:30:00,SHORT,R1,1.1791433333333334,1.17896,1.17962,1.1776400000000002,0.0006599999999998829,LOSS
2026-01-05 06:45:00,LONG,S1,1.167706666666667,1.1680300000000001,1.16711,1.1698700000000002,0.0009200000000000319,LOSS
2026-01-06 04:15:00,SHORT,R1,1.1726,1.17217,1.17297,1.1705699999999997,0.0008000000000001339,LOSS
2026-01-19 00:15:00,LONG,S1,1.157943333333333,1.15816,1.15755,1.15938,0.0006099999999999994,WIN
2026-01-21 02:15:00,SHORT,R1,1.17246,1.1722,1.17291,1.17078,0.0007099999999999884,LOSS
2026-01-28 01:15:00,SHORT,R1,1.20338,1.20285,1.20469,1.1991699999999998,0.0018400000000000638,WIN
2026-02-10 16:45:00,SHORT,R1,1.1919933333333335,1.1913399999999998,1.19306,1.1878999999999995,0.0017200000000001658,WIN
2026-02-11 08:30:00,SHORT,R1,1.1921466666666665,1.1917,1.19247,1.19016,0.0007699999999999374,LOSS
2026-03-04 03:45:00,LONG,S1,1.1586800000000004,1.1595300000000002,1.15746,1.1636700000000006,0.0020700000000002383,WIN
2026-03-05 18:45:00,LONG,S1,1.1562000000000001,1.15812,1.15578,1.1628,0.0023400000000000087,LOSS
2026-03-06 13:15:00,LONG,S1,1.1568100000000001,1.1582000000000001,1.15643,1.1617400000000002,0.0017700000000000493,LOSS
2026-03-09 07:30:00,LONG,S1,1.1549833333333335,1.1557300000000001,1.15272,1.1617500000000005,0.003010000000000179,LOSS
2026-03-16 02:15:00,LONG,S1,1.1438166666666665,1.1447800000000001,1.14329,1.1477600000000006,0.0014900000000002134,LOSS
2026-03-19 03:30:00,LONG,S1,1.1477499999999998,1.1480800000000002,1.14726,1.1497200000000007,0.000820000000000265,LOSS
2026-04-06 01:15:00,LONG,S1,1.1507400000000003,1.15117,1.1503,1.1529099999999999,0.0008699999999999264,WIN
2026-04-16 06:45:00,SHORT,R1,1.1814933333333335,1.1812699999999998,1.18181,1.1801899999999994,0.000540000000000207,WIN
2026-04-17 18:00:00,SHORT,R1,1.1820300000000001,1.1812,1.18288,1.1778400000000002,0.0016799999999999038,WIN
2026-05-01 15:45:00,SHORT,R1,1.1763666666666666,1.1758,1.17688,1.17364,0.0010799999999999699,LOSS
2026-05-07 05:00:00,SHORT,R1,1.1759866666666663,1.17573,1.17653,1.1741299999999997,0.0008000000000001339,LOSS
2026-05-18 00:15:00,LONG,PDL,1.16167,1.16208,1.16075,1.16474,0.0013300000000000534,LOSS
2026-05-18 01:00:00,LONG,S1,1.162166666666667,1.1624400000000001,1.16168,1.1639600000000003,0.0007600000000000939,LOSS
2026-05-20 11:45:00,LONG,S1,1.1589200000000002,1.15948,1.1585,1.16144,0.0009799999999999809,LOSS
2026-05-21 17:00:00,LONG,S1,1.1583933333333334,1.15961,1.1575900000000001,1.1636499999999999,0.0020199999999999108,UNKNOWN
2026-05-28 09:15:00,LONG,S1,1.1603366666666666,1.16056,1.15965,1.16238,0.0009099999999999664,WIN
2026-06-08 12:45:00,LONG,S1,1.150263333333333,1.1506800000000001,1.14971,1.1526200000000004,0.0009700000000001374,WIN
2026-06-11 15:30:00,LONG,S1,1.1523033333333337,1.1529600000000002,1.15138,1.1561200000000005,0.0015800000000001369,LOSS
2026-06-19 09:00:00,LONG,S1,1.1428166666666668,1.1432300000000002,1.1421000000000001,1.1454900000000003,0.0011300000000000754,WIN
2026-06-23 00:15:00,LONG,PDL,1.1419,1.1428900000000002,1.14141,1.1458500000000005,0.0014800000000001479,LOSS
2026-06-24 15:45:00,LONG,S1,1.1326733333333336,1.13317,1.13226,1.13499,0.0009099999999999664,WIN
2026-06-25 15:15:00,LONG,S1,1.1339333333333332,1.13433,1.13343,1.1361300000000003,0.0009000000000001229,WIN
2026-07-02 03:15:00,LONG,S1,1.1379966666666665,1.13822,1.13742,1.1398199999999998,0.0007999999999999119,WIN
2026-07-08 00:15:00,LONG,PDL,1.14081,1.141,1.13978,1.14344,0.0012199999999999989,LOSS
2026-07-08 14:45:00,LONG,S1,1.1394699999999998,1.14059,1.13904,1.1436899999999999,0.0015499999999999403,WIN
2026-07-13 00:15:00,LONG,S1,1.1395966666666668,1.14077,1.13898,1.14435,0.0017899999999999583,LOSS
2026-07-15 01:15:00,LONG,S1,1.1418433333333335,1.14206,1.14153,1.1431200000000004,0.0005300000000001415,WIN
