entry_time,direction,entry_price,sl,tp,exit_price,status
2024-12-10 12:15:00+00:00,SHORT,1.27563,1.2768107142857144,1.2732685714285716,1.2734885714285717,WIN
2026-06-26 14:45:00+00:00,SHORT,1.32223,1.3238232142857143,1.3190435714285718,1.3240432142857144,LOSS
